Epoch [1/250], Train Loss: 0.0630, Validation Loss: 0.0567 -- Model saved
Epoch [36/250], Train Loss: 0.0436, Validation Loss: 0.0443
Epoch [37/250], Train Loss: 0.0428, Validation Loss: 0.0432
Epoch [38/250], Train Loss: 0.0425, Validation Loss: 0.0428
Epoch [39/250], Train Loss: 0.0425, Validation Loss: 0.0427
Epoch [40/250], Train Loss: 0.0422, Validation Loss: 0.0445
Epoch [41/250], Train Loss: 0.0430, Validation Loss: 0.0434
Epoch [42/250], Train Loss: 0.0426, Validation Loss: 0.0410
Epoch [43/250], Train Loss: 0.0419, Validation Loss: 0.0433
Epoch [44/250], Train Loss: 0.0425, Validation Loss: 0.0440
Epoch [45/250], Train Loss: 0.0432, Validation Loss: 0.0446
Epoch [46/250], Train Loss: 0.0441, Validation Loss: 0.0462
Epoch [47/250], Train Loss: 0.0460, Validation Loss: 0.0451
Epoch [48/250], Train Loss: 0.0555, Validation Loss: 0.0626
Epoch [49/250], Train Loss: 0.0627, Validation Loss: 0.0633
Epoch [50/250], Train Loss: 0.0628, Validation Loss: 0.0643
Epoch [51/250], Train Loss: 0.0627, Validation Loss: 0.0648
Epoch [52/250], Train Loss: 0.0627, Validation Loss: 0.0611
Epoch [53/250], Train Loss: 0.0627, Validation Loss: 0.0614
Epoch [54/250], Train Loss: 0.0628, Validation Loss: 0.0610
Epoch [55/250], Train Loss: 0.0628, Validation Loss: 0.0654
Epoch [56/250], Train Loss: 0.0627, Validation Loss: 0.0648
Epoch [57/250], Train Loss: 0.0627, Validation Loss: 0.0628
Epoch [58/250], Train Loss: 0.0627, Validation Loss: 0.0656
Epoch [59/250], Train Loss: 0.0627, Validation Loss: 0.0653
Epoch [60/250], Train Loss: 0.0627, Validation Loss: 0.0649
Epoch [61/250], Train Loss: 0.0627, Validation Loss: 0.0650
Epoch [62/250], Train Loss: 0.0628, Validation Loss: 0.0648
Epoch [63/250], Train Loss: 0.0627, Validation Loss: 0.0604
Epoch [64/250], Train Loss: 0.0627, Validation Loss: 0.0645
Epoch [65/250], Train Loss: 0.0628, Validation Loss: 0.0617
Epoch [66/250], Train Loss: 0.0627, Validation Loss: 0.0620
Epoch [67/250], Train Loss: 0.0627, Validation Loss: 0.0607
Epoch [68/250], Train Loss: 0.0627, Validation Loss: 0.0622
Epoch [69/250], Train Loss: 0.0626, Validation Loss: 0.0652
Epoch [70/250], Train Loss: 0.0625, Validation Loss: 0.0582
Epoch [71/250], Train Loss: 0.0626, Validation Loss: 0.0645
Epoch [72/250], Train Loss: 0.0627, Validation Loss: 0.0635
Epoch [73/250], Train Loss: 0.0626, Validation Loss: 0.0640
Epoch [74/250], Train Loss: 0.0626, Validation Loss: 0.0632
Epoch [75/250], Train Loss: 0.0627, Validation Loss: 0.0645
Epoch [76/250], Train Loss: 0.0627, Validation Loss: 0.0644
Epoch [77/250], Train Loss: 0.0627, Validation Loss: 0.0618
Epoch [78/250], Train Loss: 0.0627, Validation Loss: 0.0648
Epoch [79/250], Train Loss: 0.0627, Validation Loss: 0.0634
Epoch [80/250], Train Loss: 0.0627, Validation Loss: 0.0648
Epoch [81/250], Train Loss: 0.0628, Validation Loss: 0.0649
Epoch [82/250], Train Loss: 0.0628, Validation Loss: 0.0631
Epoch [83/250], Train Loss: 0.0628, Validation Loss: 0.0653
Epoch [84/250], Train Loss: 0.0628, Validation Loss: 0.0610
Epoch [85/250], Train Loss: 0.0627, Validation Loss: 0.0647
Epoch [86/250], Train Loss: 0.0627, Validation Loss: 0.0612
Epoch [87/250], Train Loss: 0.0628, Validation Loss: 0.0638
Epoch [88/250], Train Loss: 0.0627, Validation Loss: 0.0621
Epoch [89/250], Train Loss: 0.0628, Validation Loss: 0.0670
Epoch [90/250], Train Loss: 0.0595, Validation Loss: 0.0588
Epoch [91/250], Train Loss: 0.0587, Validation Loss: 0.0595
Epoch [92/250], Train Loss: 0.0587, Validation Loss: 0.0598
Epoch [93/250], Train Loss: 0.0586, Validation Loss: 0.0570
Epoch [94/250], Train Loss: 0.0586, Validation Loss: 0.0602
Epoch [95/250], Train Loss: 0.0587, Validation Loss: 0.0584
Epoch [96/250], Train Loss: 0.0586, Validation Loss: 0.0587
Epoch [97/250], Train Loss: 0.0585, Validation Loss: 0.0577
Epoch [98/250], Train Loss: 0.0585, Validation Loss: 0.0587
Epoch [99/250], Train Loss: 0.0585, Validation Loss: 0.0580
Epoch [100/250], Train Loss: 0.0583, Validation Loss: 0.0617
Epoch [101/250], Train Loss: 0.0583, Validation Loss: 0.0587
Epoch [102/250], Train Loss: 0.0582, Validation Loss: 0.0585
Epoch [103/250], Train Loss: 0.0581, Validation Loss: 0.0566
Epoch [104/250], Train Loss: 0.0581, Validation Loss: 0.0588
Epoch [105/250], Train Loss: 0.0580, Validation Loss: 0.0586
Epoch [106/250], Train Loss: 0.0579, Validation Loss: 0.0593
Epoch [107/250], Train Loss: 0.0578, Validation Loss: 0.0594
Epoch [108/250], Train Loss: 0.0578, Validation Loss: 0.0577
Epoch [109/250], Train Loss: 0.0577, Validation Loss: 0.0573
Epoch [110/250], Train Loss: 0.0576, Validation Loss: 0.0565
Epoch [111/250], Train Loss: 0.0574, Validation Loss: 0.0586
Epoch [112/250], Train Loss: 0.0573, Validation Loss: 0.0567
Epoch [113/250], Train Loss: 0.0573, Validation Loss: 0.0553
Epoch [114/250], Train Loss: 0.0572, Validation Loss: 0.0557
Epoch [115/250], Train Loss: 0.0573, Validation Loss: 0.0565
Epoch [116/250], Train Loss: 0.0570, Validation Loss: 0.0576
Epoch [117/250], Train Loss: 0.0569, Validation Loss: 0.0589
Epoch [118/250], Train Loss: 0.0567, Validation Loss: 0.0555
Epoch [119/250], Train Loss: 0.0569, Validation Loss: 0.0584
Epoch [120/250], Train Loss: 0.0565, Validation Loss: 0.0592
Epoch [121/250], Train Loss: 0.0564, Validation Loss: 0.0582
Epoch [122/250], Train Loss: 0.0567, Validation Loss: 0.0567
Epoch [123/250], Train Loss: 0.0561, Validation Loss: 0.0549
Epoch [124/250], Train Loss: 0.0560, Validation Loss: 0.0577
Epoch [125/250], Train Loss: 0.0567, Validation Loss: 0.0544
Epoch [126/250], Train Loss: 0.0558, Validation Loss: 0.0593
Epoch [127/250], Train Loss: 0.0556, Validation Loss: 0.0527
Epoch [128/250], Train Loss: 0.0560, Validation Loss: 0.0550
Epoch [129/250], Train Loss: 0.0549, Validation Loss: 0.0536
Epoch [130/250], Train Loss: 0.0561, Validation Loss: 0.0547
Epoch [131/250], Train Loss: 0.0547, Validation Loss: 0.0528
Epoch [132/250], Train Loss: 0.0565, Validation Loss: 0.0656
Epoch [133/250], Train Loss: 0.0624, Validation Loss: 0.0595
Epoch [134/250], Train Loss: 0.0622, Validation Loss: 0.0647
Epoch [135/250], Train Loss: 0.0621, Validation Loss: 0.0636
Epoch [136/250], Train Loss: 0.0621, Validation Loss: 0.0613
Epoch [137/250], Train Loss: 0.0621, Validation Loss: 0.0635
Epoch [138/250], Train Loss: 0.0621, Validation Loss: 0.0611
Epoch [139/250], Train Loss: 0.0621, Validation Loss: 0.0653
Epoch [140/250], Train Loss: 0.0621, Validation Loss: 0.0621
Epoch [141/250], Train Loss: 0.0620, Validation Loss: 0.0645
Epoch [142/250], Train Loss: 0.0621, Validation Loss: 0.0575
Epoch [143/250], Train Loss: 0.0597, Validation Loss: 0.0544
Epoch [144/250], Train Loss: 0.0548, Validation Loss: 0.0506
Epoch [145/250], Train Loss: 0.0543, Validation Loss: 0.0553
Epoch [146/250], Train Loss: 0.0578, Validation Loss: 0.0682
Epoch [147/250], Train Loss: 0.0562, Validation Loss: 0.0575
Epoch [148/250], Train Loss: 0.0540, Validation Loss: 0.0554
Epoch [149/250], Train Loss: 0.0536, Validation Loss: 0.0539
Epoch [150/250], Train Loss: 0.0534, Validation Loss: 0.0511
Epoch [151/250], Train Loss: 0.0541, Validation Loss: 0.0512
Epoch [152/250], Train Loss: 0.0546, Validation Loss: 0.0569
Epoch [153/250], Train Loss: 0.0615, Validation Loss: 0.0620
Epoch [154/250], Train Loss: 0.0621, Validation Loss: 0.0627
Epoch [155/250], Train Loss: 0.0621, Validation Loss: 0.0632
Epoch [156/250], Train Loss: 0.0620, Validation Loss: 0.0621
